,countries,cases,todays,deaths,recovered,active
184,Bhutan,238,+4,,155,83
185,Cayman Islands,208,,1,204,3
186,Barbados,180,,7,157,16
187,Bermuda,177,,9,160,8
188,Monaco,165,,1,107,57
189,Brunei ,145,,3,139,3
190,Seychelles,138,+1,,136,2
191,Curaçao,135,+4,1,55,79
192,Liechtenstein,109,,1,105,3
193,Antigua and Barbuda,95,,3,91,1
194,British Virgin Islands,63,,1,10,52
195,St. Vincent Grenadines,62,,,58,4
196,Macao,46,,,46,0
197,Fiji,32,,2,24,6
198,Saint Lucia,27,,,26,1
199,Timor-Leste,27,,,25,2
200,New Caledonia,26,,,25,1
201,Caribbean Netherlands,25,,,7,18
202,Dominica,24,,,18,6
203,Grenada,24,,,24,0
204,Laos,23,+1,,21,2
205,St. Barth,21,,,13,8
206,Saint Kitts and Nevis,17,,,17,0
207,Greenland,14,,,14,0
208,Montserrat,13,,1,11,1
209,Falkland Islands,13,,,13,0
210,Vatican City,12,,,12,0
211,Western Sahara,10,,1,8,1
212,Saint Pierre Miquelon,10,,,5,5
213,MS Zaandam,9,,2,,7
214,Anguilla,3,,,3,0
215,China,"85,168",+15,"4,634","80,377",157
